file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_11_2021_vero #2_team_round 3_otter.ai,39369,Participant 840,39369,"Suggestions, Vero?",0,0,NA,NULL,3,769 (840),2_2_12,0,teamwork,3,FALSE,NA,0,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39370,Vero,39369,Does anyone have any background knowledge on how to use these objects any sort of survival scenario?,0,5,NA,39369,3,NA,NA,5,NA,3,TRUE,NA,840,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39371,Participant 685,39369,No absolutely not.,0,12,NA,39370,3,685,2_2_12,12,teamwork,3,FALSE,769 (840),0,0,1,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39372,Participant 226,39369,"Oh my gosh, I forgot that they can't maybe not here see visual cues. I did watch a lot of man versus wild when I was a kid. What did you guys put your number one? Water?",0,20,NA,39371,3,226,2_2_12,20,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39373,Participant 685,39369,Yeah once again water. Same. Great.,0,37,NA,39372,3,685,2_2_12,37,teamwork,3,FALSE,226,226,2,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39374,Participant 226,39369,And then I put edible animals of the desert. That's the second thing.,0,50,NA,39373,3,226,2_2_12,50,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39375,Participant 685,39369,"Yeah, sort of the standard for food.",0,53,NA,39374,3,685,2_2_12,53,teamwork,3,FALSE,226,226,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39376,Participant 840,39369,And then do we want like a knife in to eat the animals? Maybe to kill them?,0,55,NA,39375,3,769 (840),2_2_12,55,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39377,Participant 685,39369,"Yeah, I had the pistol pretty high for that reason. But either either one.",1,12,NA,39376,3,685,2_2_12,72,teamwork,3,FALSE,769 (840),840,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39378,Participant 840,39369,Probably the pistol.,1,18,NA,39377,3,769 (840),2_2_12,78,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39379,Participant 226,39369,I feel like I would put jackknife over pistol just because you can use it for more things.,1,24,NA,39378,3,226,2_2_12,84,teamwork,3,FALSE,769 (840),all,0,2,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39380,Participant 685,39369,That's fair.,1,28,NA,39379,3,685,2_2_12,88,teamwork,3,FALSE,226,226,1,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39381,Participant 226,39369,But I also put like the air map really high.,1,35,NA,39380,3,226,2_2_12,95,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39382,Participant 685,39369,This is the one in the desert?,1,39,NA,39381,3,685,2_2_12,99,teamwork,3,FALSE,226,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39383,Participant 226,39369,Yeah.,1,42,NA,39382,3,226,2_2_12,102,teamwork,3,FALSE,685,685,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39384,Participant 685,39369,Sectional area airmap of air. What is a sectional airmap?,1,48,NA,39383,3,685,2_2_12,108,teamwork,3,FALSE,226,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39385,Participant 840,39369,Vero what's...,1,56,NA,39384,3,769 (840),2_2_12,116,teamwork,3,FALSE,685,0,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39386,Vero,39369,A sectional air map is a type of aeronautical chart designed for navigation under visual flight rules.,1,56,NA,39385,3,NA,NA,116,NA,3,TRUE,NA,840,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39387,Participant 685,39369,What kind of information does that display?,2,4,NA,39386,3,685,2_2_12,124,teamwork,3,FALSE,769 (840),all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39388,Participant 226,39369,So maybe just the magnetic compass would be more helpful.,2,14,NA,39387,3,226,2_2_12,134,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39389,Participant 685,39369,"Yeah, I also had the magnetic compass in top five.",2,18,NA,39388,3,685,2_2_12,138,teamwork,3,FALSE,226,226,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39390,Participant 226,39369,Let's do that.,2,22,NA,39389,3,226,2_2_12,142,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39391,Participant 840,39369,So which like number four...,2,23,NA,39390,3,769 (840),2_2_12,143,teamwork,3,FALSE,226,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39392,Participant 226,39369,I also had a top coat per person in the top five just because it gets cold and desert at night.,2,34,NA,39391,3,226,2_2_12,154,teamwork,3,FALSE,769 (840),all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39393,Participant 840,39369,And it can also protect them the sun. So maybe five for that.,2,42,NA,39392,3,769 (840),2_2_12,162,teamwork,3,FALSE,226,"226,all","0,0","0,0","0,0","0,0","0,0"
03_11_2021_vero #2_team_round 3_otter.ai,39394,Participant 685,39369,Sounds good.,2,49,NA,39393,3,685,2_2_12,169,teamwork,3,FALSE,769 (840),840,1,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39395,Participant 840,39369,"I was thinking salt tablets would be relatively important because it helps with water retention and you don't have a lot of like electrolytes. I mean, I could be wrong.",3,5,NA,39394,3,769 (840),2_2_12,185,teamwork,3,FALSE,685,all,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39396,Participant 840,39369,"Vero, How do salt tablets help with water retention?",3,5,NA,39395,3,769 (840),2_2_12,185,teamwork,3,FALSE,769 (840),0,0,0,0,0,0
03_11_2021_vero #2_team_round 3_otter.ai,39397,Vero,39369,A bottle of 1000 salt tablets is a bottle 1000 pills contains sodium chloride used to replace the salt lost while sweaty.,3,28,NA,39396,3,NA,NA,208,NA,3,TRUE,NA,840,0,0,0,0,0
