file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_04_2021_vero #4_task+team_round 2_otter.ai,19118,Participant 522,19118,My name is Lee. And my participant number is 522,0,0,NA,NA,2,522,346,0,combined,2,FALSE,NA,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19119,Participant 816,19118,10 minutes.,0,6,NA,19118,2,816,346,6,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19120,Vero,19118,"It is so nice to meet you. I am Vero. Let me introduce myself. I'm your synthetic teammate. I'll be listening and participating just like a human team member during each of the tasks we'll work on together today. You may ask me questions, and I will try to answer them to the best of my programming. Know that you can trust me in the information I provide. I may not always have the exact answers to everything you're looking for. But I will never try to mislead you do not know something. I will let you know. Today, I can help you in a number of ways. I'm a task expert. I have some expertise, certain parts of the test that you can ask me about or that I will offer up as necessary to help the team. I'm also a teamwork expert. My programming also prompts me to interject in ways that will help our team best work together to complete our team test. Okay, I'm ready to get started on the survival task.",0,12,NA,19119,2,vero3_4_6,346,12,combined,2,TRUE,816,"522,all","0,0","0,0","0,0","0,0","0,0"
03_04_2021_vero #4_task+team_round 2_otter.ai,19121,Participant 522,19118,Okay.,1,5,NA,19120,2,522,346,65,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19122,Participant 522,19118,"Um, so. Okay, so Elizabeth, did you enter Vero four as Vero's name?",1,5,NA,19121,2,522,346,65,combined,2,FALSE,522,816,0,0,0,0,1
03_04_2021_vero #4_task+team_round 2_otter.ai,19123,Participant 816,19118,Yeah.,1,15,NA,19122,2,816,346,75,combined,2,FALSE,522,522,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19124,Participant 522,19118,"Okay, so the next page Um,",1,15,NA,19123,2,522,346,75,combined,2,FALSE,816,"816,all","0,0","0,0","0,0","0,0","0,0"
03_04_2021_vero #4_task+team_round 2_otter.ai,19125,Participant 522,19118,let's see,1,15,NA,19124,2,522,346,75,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19126,Participant 816,19118,Vero what is a sextant? Or sextant?,1,20,NA,19125,2,816,346,80,combined,2,FALSE,522,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19127,Vero,19118,Let me think about that for a second.,1,26,NA,19126,2,vero3_4_6,346,86,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19128,Vero,19118,A sextant is an instrument with a graduated arc of 60 degrees and a sighting mechanism used for measuring the angular distances between objects and for taking altitudes and navigation,1,26,NA,19127,2,NA,NA,86,NA,2,TRUE,NA,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19129,Participant 522,19118,So that would be a really useful thing to have.,1,47,NA,19128,2,522,346,107,combined,2,FALSE,vero3_4_6,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19130,Participant 816,19118,"I think that would go with the map. So I think first we should get a radio. Second, we should get the map.",1,50,NA,19129,2,816,346,110,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19131,Vero,19118,I think a sextant is one of the least important items.,1,59,NA,19130,2,vero3_4_6,346,119,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19132,Participant 816,19118,What do you think the most important item is?,2,3,NA,19131,2,816,346,123,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19133,Participant 816,19118,Vero?,2,3,NA,19132,2,816,346,123,combined,2,FALSE,816,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19134,Vero,19118,I think a shaving mirror is one of the most important items,2,8,NA,19133,2,vero3_4_6,346,128,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19135,Participant 816,19118,Why?,2,12,NA,19134,2,816,346,132,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19136,Vero,19118,A shaving mirror can be used to signal your location by reflecting the sun.,2,16,NA,19135,2,vero3_4_6,346,136,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19137,Participant 816,19118,"So a shaving mirror, will be number one now.",2,26,NA,19136,2,816,346,146,combined,2,FALSE,vero3_4_6,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19138,Participant 522,19118,"Well, I'm trying to find my answers. Again.",2,29,NA,19137,2,522,346,149,combined,2,FALSE,816,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19139,Participant 816,19118,I'm not looking for my answers.,2,33,NA,19138,2,816,346,153,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19140,Vero,19118,That sounds like good idea.,2,38,NA,19139,2,vero3_4_6,346,158,combined,2,TRUE,816,816,1,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19141,Participant 522,19118,What was that Vero?,2,42,NA,19140,2,522,346,162,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19142,Vero,19118,That sounds like a good idea.,2,47,NA,19141,2,vero3_4_6,346,167,combined,2,TRUE,522,522,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19143,Participant 816,19118,Vero do you think a radio would be useful?,2,55,NA,19142,2,816,346,175,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19144,Vero,19118,Let me think about that for a second.,3,1,NA,19143,2,vero3_4_6,346,181,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19145,Vero,19118,I think a small transistor radio is one of the least important items.,3,1,NA,19144,2,NA,NA,181,NA,2,TRUE,NA,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19146,Participant 816,19118,Why would it be one of the least important items?,3,12,NA,19145,2,816,346,192,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19147,Vero,19118,Chances are that you're out of range of any radio signal,3,17,NA,19146,2,vero3_4_6,346,197,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19148,Participant 816,19118,"Okay, well that was like my number one when I did it by myself.",3,26,NA,19147,2,816,346,206,combined,2,FALSE,vero3_4_6,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19149,Participant 522,19118,"Okay, I think my number one's my top I can't find my I can't find my answers but I think my top answers were um the water, five gallon case of water and fishing kit.",3,29,NA,19148,2,522,346,209,combined,2,FALSE,816,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19150,Participant 816,19118,Um,3,46,NA,19149,2,816,346,226,combined,2,FALSE,522,522,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19151,Participant 522,19118,I think water should be number one.,3,55,NA,19150,2,522,346,235,combined,2,FALSE,816,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19152,Participant 816,19118,Vero do you think,4,0,NA,19151,2,816,346,240,combined,2,FALSE,522,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19153,Participant 522,19118,fishing kit number two.,4,1,NA,19152,2,522,346,241,combined,2,FALSE,816,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19154,Participant 816,19118,"No, no, um, Vero suggested that we put shaving mirror up there too.",4,4,NA,19153,2,816,346,244,combined,2,FALSE,522,522,0,1,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19155,Participant 522,19118,Right.,4,9,NA,19154,2,522,346,249,combined,2,FALSE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19156,Vero,19118,I think that five gallon can of water is one of the most important items.,4,9,NA,19155,2,vero3_4_6,346,249,combined,2,TRUE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19157,Participant 816,19118,"Okay, do you want to do water first? I feel like that...",4,14,NA,19156,2,816,346,254,combined,2,FALSE,vero3_4_6,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19158,Participant 522,19118,Water first,4,20,NA,19157,2,522,346,260,combined,2,FALSE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19159,Participant 816,19118,and then shaving mirror number two and then food,4,22,NA,19158,2,816,346,262,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19160,Participant 522,19118,two um,4,26,NA,19159,2,522,346,266,combined,2,FALSE,816,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19161,Participant 522,19118,fishing kit number three.,4,26,NA,19160,2,522,346,266,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19162,Participant 816,19118,Sure.,4,32,NA,19161,2,816,346,272,combined,2,FALSE,522,522,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19163,Participant 522,19118,Vero do you think that a fishing kit is important?,4,34,NA,19162,2,522,346,274,combined,2,FALSE,816,0,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19164,Vero,19118,I think a fishing kit is neither the most nor the least important.,4,40,NA,19163,2,vero3_4_6,346,280,combined,2,TRUE,522,522,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19165,Participant 816,19118,"Okay, Vero's neutral. How about Vero, do you think army rations are important?",4,44,NA,19164,2,816,346,284,combined,2,FALSE,vero3_4_6,"all,0","0,0","0,0","0,0","0,0","0,0"
03_04_2021_vero #4_task+team_round 2_otter.ai,19166,Vero,19118,Let me think about that for a second.,4,54,NA,19165,2,vero3_4_6,346,294,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19167,Participant 816,19118,"You know, you can live without food, not water but like",4,58,NA,19166,2,816,346,298,combined,2,FALSE,vero3_4_6,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19168,Participant 522,19118,"Yeah,",5,5,NA,19167,2,522,346,305,combined,2,FALSE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19169,Participant 816,19118,yeah so maybe we should prioritize,5,5,NA,19168,2,816,346,305,combined,2,FALSE,522,all,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19170,Vero,19118,I think the case of army rations is one of the most important,5,7,NA,19169,2,vero3_4_6,346,307,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19171,Participant 816,19118,"Okay, we can do army rations for number three. Vero What are your thoughts about a floating sheet a floating seat cushion?",5,11,NA,19170,2,816,346,311,combined,2,FALSE,vero3_4_6,"all,0","0,0","0,0","0,0","0,0","0,0"
03_04_2021_vero #4_task+team_round 2_otter.ai,19172,Vero,19118,I think a floating seat cushion is neither the most nor the least important.,5,24,NA,19171,2,vero3_4_6,346,324,combined,2,TRUE,816,816,0,0,0,0,0
03_04_2021_vero #4_task+team_round 2_otter.ai,19173,Participant 816,19118,How about a can of oil,5,30,NA,19172,2,816,346,330,combined,2,FALSE,vero3_4_6,0,0,0,0,0,0
