file.name,id,user,root,text,min,sec,nanosec,reply.to,n.participants,user_id,Team_id,time,condition,round,is_vero,user_id2,to,task_pos,task_conf,rel_pos,rel_conf,3rdVero
03_11_2021_vero #7_task+team_round 1_otter.ai,41628,Participant 139,41628,Hello. So if it's,0,0,NA,NULL,2,139,3_7_12,0,combined,1,FALSE,139,149,0,0,1,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41629,Participant 149,41628,"I'm not sure I yeah, it's number seven, Northwestern and the two of us, I guess. Well, hi, I'm Elizabeth.",0,5,NA,41628,2,149,3_7_12,5,combined,1,FALSE,139,139,0,0,1,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41630,Participant 139,41628,You can introduce yourself I guess.,0,12,NA,41629,2,139,3_7_12,12,combined,1,FALSE,149,149,0,0,1,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41631,Participant 149,41628,I'm Elizabeth I'm a grad student at UF.,0,15,NA,41630,2,149,3_7_12,15,combined,1,FALSE,139,all,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41632,Participant 139,41628,I'm Anusha I'm an international student from Nepal. I am an undergrad. and my major is computer science.,0,21,NA,41631,2,139,3_7_12,21,combined,1,FALSE,149,all,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41633,Participant 149,41628,"Oh, great. Oh, I think we have a we have it in the chat already. Okay, she says we have begun and we have 10 minutes to complete it, but I don't have the password do you.",0,28,NA,41632,2,149,3_7_12,28,combined,1,FALSE,139,139,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41634,Participant 139,41628,"No, I also do not have.",0,48,NA,41633,2,139,3_7_12,48,combined,1,FALSE,149,149,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41635,Participant 149,41628,So do we ask for help?,1,5,NA,41634,2,149,3_7_12,65,combined,1,FALSE,139,all,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41636,Participant 139,41628,"Yeah, I think we should.",1,10,NA,41635,2,139,3_7_12,70,combined,1,FALSE,149,149,1,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41637,Participant 149,41628,"Yeah, I mean, at this point, right. Yeah. I got it. Okay, we've invited the host. Nothing is happening. Currently helping others. Cool. Well, this is great. We don't have a password.",1,11,NA,41636,2,149,3_7_12,71,combined,1,FALSE,139,139,0,0,0,0,0
03_11_2021_vero #7_task+team_round 1_otter.ai,41638,NA,41628,STRONG Team  1:48,1,11,NA,41637,2,149,3_7_12,71,combined,1,FALSE,149,NA,NA,NA,NA,NA,NA
